가맹점명,주소,위도,경도
가락2호,서울 송파구 가락동 75-7,37.4970092,127.1200284
가람마을,경기 파주시 와동동 1557-1,37.7344573,126.7553332
가산디지털,서울 금천구 가산동 371-6 가산비지니스센터 2층,37.4801997,126.8810684
가야,부산 부산진구 가야동 478,35.1477150,129.0307121
가양,서울 강서구 등촌동 75-1,37.5612622,126.8539775
가오천동,대전 동구 가오동 235-12,36.3058191,127.4527061
가장내동,대전 서구 가장동 50-45,36.3325380,127.3874929
가정루원시티,인천 서구 가정동 614-14,37.5279304,126.6710410
가좌,인천 서구 가좌동 30-78,37.4940776,126.6842961
가평,경기 가평군 가평읍 대곡리 168-5,37.8249242,127.5151701
가호,경남 진주시 호탄동 611-3,35.1634914,128.1156362
가흥,경북 영주시 가흥동 1881,36.8124780,128.6061076
간석1호,인천 남동구 구월동 70-80,37.4580290,126.7146509
갈곶고현,경기 평택시 갈곶리 239-48,37.1275894,127.0690017
갈마1호,대전 서구 갈마동 394-29,36.3456332,127.3696989
갈매,"경기 구리시 갈매동 608-1 101호, 102호",37.6312921,127.1161635
갈산삼산지구,인천 부평구 갈산동 55-8,37.5174489,126.7312102
감계,경남 창원시 의창구 북면 감계리 246-4,35.3008574,128.5932045
감만,부산 남구 감만1동 158-6,35.1154118,129.0812322
감삼성당,대구 달서구 감삼동 317-3,35.8437196,128.5400098
강남대,경기 용인시 기흥구 구갈동 594 강남피아,37.2712465,127.1281652
강남역,서울 서초구 서초동 1309-6,37.5017576,127.0242596
강동산하,울산 북구 산하동 89,35.6355229,129.4378354
강서,충북 청주시 흥덕구 가경동 1849,36.6204056,127.4270973
강서구청,서울 강서구 화곡동 986-16,37.5495834,126.8472997
강선,경기 고양시 일산동구 정발산동 687-5,37.6687220,126.7742496
강일,서울 강동구 강일동 679-3 리슈빌오피스텔,37.5643942,127.1737473
강제,충북 제천시 강제동 832,37.1224517,128.2005692
강진,전남 강진군 강진읍 남성리 5-4,34.6384950,126.7692260
강화,인천 강화군 강화읍 갑곳리 199-1,37.7430081,126.4918843
개금1호,부산 부산진구 개금동 2-1,35.1616256,129.0258969
개금2호,부산 부산진구 개금동 523-17,35.1513454,129.0200100
개봉1호,서울 구로구 개봉동 403-159,37.4884225,126.8564731
개운,강원 원주시 개운동 395-23,37.3412086,127.9592592
개포1호,서울 강남구 개포동 1229-18,37.4762624,127.0469152
개포2호,서울 강남구 개포동 158-4,37.4827618,127.0619767
갱고개,충북 충주시 교현동 173-11,36.9746862,127.9400149
거모,경기 시흥시 거모동 1757-1,37.3447605,126.7853295
거북섬,경기 시흥시 정왕동 2720-6,37.3225229,126.6831532
거여가락1호,서울 송파구 가락동 180-9,37.4925188,127.1355801
거제법조,부산 연제구 거제동 891-14,35.1931638,129.0665728
거창1호,경남 거창군 거창읍 대동리 697-5,35.6910606,127.9149314
건대,서울 광진구 화양동 9-18,37.5417034,127.0693988
건입,제주 제주시 일도2동 160-9,33.5115164,126.5387850
검암,인천 서구 검암동 626-2번지 태건프라자 105호,37.5620797,126.6735155
경북도청,경북 예천군 호명면 산합리 1408,36.5763198,128.4890739
경산,경북 경산시 옥산동 758-10(1층),35.8248130,128.7280795
경산오거리,경북 경산시 중방동 880-1,35.8235938,128.7377329
경포,강원 강릉시 안현동 861-8,37.8034555,128.9027003
경희대,서울 동대문구 회기동 42-16,37.5929218,127.0514864
계룡대,충남 계룡시 엄사면 엄사리 253-1,36.2886975,127.2380008
계림,광주 동구 대인동 319-6,35.1562222,126.9140074
계명,대구시 남구 양지로 107,35.8517103,128.5795069
계산1호,인천 계양구 계산동 1081-10,37.5359698,126.7368935
계산2호,인천 계양구 계산동 61-2,37.5381484,126.7308262
계산3호,인천 계양구 계산동 942-30,37.5407958,126.7217158
계양사동,경북 경산시 사동 48,35.8135182,128.7578278
고덕1호(서울),서울 강동구 고덕동 650-1,37.5598121,127.1516836
고덕1호(평택),경기 평택시 고덕면 여염리 4434-2,37.0427336,127.0526829
고등,경기 성남시 수정구 고등동 595-11,37.4278106,127.0948606
고령,경북 고령군 대가야읍 지산리 3-11,35.7271587,128.2655110
고성(강원),강원 고성군 간성읍 하리 18-1,38.3795741,128.4677103
고성(경남),경남 고성군 고성읍 송학리 244-88,34.9776704,128.3267292
고양동,경기 고양시 덕양구 고양동 176-8 104호,37.7070618,126.9030386
고운,세종 고운동 1718,36.5055622,127.2337192
고읍1호,경기 양주시 광사동 657,37.7939693,127.0794915
고잔1호,경기 안산시 단원구 고잔동 756-1,37.3133117,126.8390525
고잔2호,경기 안산시 단원구 와동 720-13,37.3328326,126.8270266
고창,전북 고창군 고창읍 교촌리 483,35.4360554,126.7107790
고척1호,서울 구로구 개봉1동 126-4,37.5024397,126.8483742
고촌,김포시 고촌읍 신곡리 1064(스카이스퀘어 3),37.6035585,126.7680884
고현상동,경남 거제시 고현동 406-18,34.8798298,128.6277114
고흥,전남 고흥군 고흥읍 남계리 439-3,34.6111488,127.2878787
곡반정,경기 수원시 권선구 곡반정동 584-4,37.2355158,127.0262507
곤지암,경기 광주시 곤지암읍 곤지암리 443-9,37.3500882,127.3401603
공도1호,경기 안성시 공도읍 만정리 417-98,36.9989431,127.1687495
공릉1호,서울 노원구 공릉동 338-6,37.6229737,127.0791682
공릉2호,서울 노원구 공릉동 461-1,37.6302391,127.0757695
공릉3호,서울 노원구 공릉동 568-27,37.6230953,127.0734786
공업탑,울산 남구 신정동 1218-7,35.5331562,129.3074739
공항신도시,인천 중구 운서동 2801-3,37.4944794,126.4912535
과천1호,경기 과천시 원문동 4 레미안 슈르 A상가(4번지)동 제1층 1023호,37.4206753,126.9923004
과천역,경기 과천시 부림동 49,37.4320041,127.0000714
관교,인천 남구 관교동 321-5,37.4469962,126.6926168
관양,경기 안양시 동안구 관양동 1724-1,37.4057972,126.9720399
관음,대구 북구 관음동 1383-9,35.9395193,128.5495092
관저1호,대전 유성구 원내동 829 외 1필지,36.3019581,127.3307063
관저느리울,대전 서구 관저동 1354,36.2979665,127.3401893
관평,대전 유성구 관평동 1056,36.4236706,127.3920731
광교1호,경기 수원시 영통구 이의동 1332 CB 4~5호,37.2906758,127.0504754
광명1호,경기 광명시 광명동 158-1015,37.4801785,126.8525664
광명역,"경기 광명시 일직동 511-5번지 대호M스퀘어 102호, 103호",37.4201841,126.8837237
광안1호,수영구 광안동 120-13,35.1613726,129.1170074
광안2호,부산 수영구 광안동 168-3,35.1537034,129.1123836
광양읍1호,전남 광양시 광양읍 칠성리 947-3,34.9725758,127.5813735
광양읍2호,전남 광양시 광양읍 용강리 857-5번지,34.9760817,127.6066680
광장,서울 광진구 광장동 530-13,37.5419658,127.0957299
광주1호,경기 광주시 경안동 154-1,37.4120953,127.2514656
광혜원,충북 진천군 광혜원면 광혜원리 503-7,36.9903056,127.4414161
괘법,부산 사상구 괘법동 516-1,35.1677739,128.9805404
괴안,경기 부천시 소사구 괴안동 39-2,37.4809694,126.8051083
괴정1호,부산 사하구 괴정동 487-24,35.0963743,128.9927189
교동(속초),강원 속초시 교동 974-2,38.1946199,128.5749500
교동(울산),울산 울주군 삼남면 교동리 1578-1,35.5610231,129.1164677
교동1호(강릉),강원 강릉시 교1동 1863-3,37.7649966,128.8782998
교촌Togo화진,경북 포항시 북구 송라면 지경리 337-10,36.2531468,129.3720620
교하신도시,경기 파주시 다율동 1001-6,37.7267292,126.7168164
구갈2지구,경기 용인시 기흥구 구갈동 353-3,37.2805906,127.1132467
구래,경기 김포시 구래동 6883-1,37.6452662,126.6263133
구례,전남 구례군 구례읍 봉남리 11-9,35.2060463,127.4677274
구로2호,서울 구로구 구로동 74-30,37.4961277,126.8930518
구로디지털,서울 구로구 구로동 826-1,37.4825867,126.8980183
구룡포,경북 포항시 남구 구룡포읍 구룡포리 742-1,35.9919663,129.5502361
구산,경남 김해시 구산동 275-8,35.2483613,128.8729740
구산역,서울 은평구 갈현동 464-14,37.6128910,126.9172575
구서1호,부산 금정구 구서2동 1024-1,35.2580214,129.0862448
구서역,부산 금정구 구서동 457-23,35.2449989,129.0887424
구성1호,경기 용인시 기흥구 마북동 370-9,37.2951412,127.1119064
구암,대구 북구 태전동 1074-6,35.9253016,128.5485309
구암조촌,전북 군산시 조촌동 2-21,35.9766005,126.7405603
구영,울산 울주군 범서읍 구영리 801-6,35.5712213,129.2425549
구월,인천 남동구 구월동 1133-13,37.4537025,126.7040931
구월아시아드,인천 남동구 구월동 1517-2,37.4431663,126.7166447
구의역,서울 광진구 구의동 257-70,37.5389730,127.0851300
구일산,경기 고양시 일산서구 일산동 967-6,37.6873501,126.7648789
구지,대구 달성군 구지면 응암리 1204-2,35.6567024,128.4188803
구포1호,부산 북구 구포3동 1228-1,35.1983574,129.0084263
구포2호,부산 북구 구포동 932-35,35.2000481,128.9970550
국동,전남 여수시 신월동 96-1,34.7246464,127.7096182
국제신도시,부산 강서구 명지동 3412-6,35.0977301,128.9196250
군산대,전북 군산시 미룡동 867-2,35.9474076,126.6864366
권곡,충남 아산시 권곡동 549-26,36.7848834,127.0108445
권선1호,경기 수원시 권선구 권선동 1260-5,37.2526934,127.0284987
궐동,경기 오산시 궐동 650-1,37.1582516,127.0612471
금곡(부산),부산 북구 금곡동 57-6,35.2640690,129.0200540
금곡(안동),경북 안동시 당북동 311-8,36.5643213,128.7204723
금곡1호,경기 수원시 권선구 금곡동 1088-1,37.2734592,126.9429639
금광1호,경기 성남시 중원구 금광동 2706,37.4513367,127.1686109
금당1호,전남 순천시 조례동 1612번지 1-4호,34.9531717,127.5301435
금산(진주),경남 진주시 중천리 192-3,35.2133370,128.1482269
금산(충남),충남 금산군 금산읍 상리 47-10,36.1079870,127.4898771
금오,경기 의정부시 금오동 473-4,37.7513232,127.0695999
금정역,경기 군포시 산본동 236-2,37.3698453,126.9394434
금천광장,충북 청주시 상당구 용담동 395,36.6318428,127.5060534
금촌1호,경기 파주시 금촌동 51-8,37.7640910,126.7759011
금촌로데오,경기 파주시 금촌동 986-2,37.7522161,126.7662970
금호,광주 서구 쌍촌동 881번지,35.1445211,126.8575195
금호역,서울 성동구 금호동4가 1380,37.5481830,127.0187204
금호지구,대구 북구 사수동 912,35.8971015,128.5161892
기장,부산 기장군 기장읍 동부리 134-2,35.2475898,129.2143168
기지시,충남 당진시 반촌리 861-20,36.9015843,126.6981181
길1호,서울 강동구 길동 347-31,37.5411184,127.1425851
길동역,서울 강동구 길동 388-3,37.5373928,127.1385434
길음뉴타운,서울 성북구 길음동 1284-17,37.6065752,127.0209028
김제,전북 김제시 신풍동 594-4번지,35.8020812,126.8990015
김천,경북 김천시 신음동 1301-4,36.1329097,128.1213771
김천부곡,경북 김천시 부곡동 426-1,36.1246334,128.1049936
김천혁신,경북 김천시 율곡동 364,36.1214199,128.1821472
까치산역,서울 강서구 화곡동 343-62 라인씨티 1층,37.5307760,126.8467602
나운1호,전북 군산시 나운동 834-7,35.9657041,126.6992036
나주,전남 나주시 대호동 1040-7,35.0404480,126.7178682
남구로,서울 구로구 구로동 704-38,37.4917010,126.8822833
남목서부,울산 동구 서부동 113-33,35.5235004,129.4318207
남문,경남 창원시 진해구 남문동 1246-4 (골든프라자),35.1064496,128.7535284
남부(순천),전남 순천시 풍덕동 1265-5,34.9441874,127.4943453
남부(포항),경북 포항시 남구 대도동 124-13,36.0146305,129.3652122
남부민,부산 서구 충무동2가 3-1,35.0954711,129.0225609
남사,경기 용인시 처인구 남사면 아곡리 702,37.1525574,127.1720847
남산1호,부산 금정구 남산동 99-6,35.2679780,129.0892908
남악,"전남 무안군 삼향읍 남악리 1577 골든스위트 119, 120호",34.8103989,126.4664020
남양(창원),경남 창원시 성산구 가음동 7-2 더원빌딩 104호,35.2096254,128.6889691
남양1호(화성),경기 화성시 남양읍 남양리 2073-6,37.2021066,126.8262835
남원,전북 남원시 도통동 387-12,35.4131958,127.3915460
남지,경남 창녕군 남지읍 남지리 994-7,35.3918055,128.4807152
남창,울산 울주군 온양읍 대안리 179-10,35.4093204,129.2900568
남평,전남 나주시 남평읍 동사리 359-3,35.0408407,126.8518250
남포부평,부산 중구 중앙동1가 23-6,35.1004597,129.0356328
남해,경남 남해군 남해읍 서변리 160-11,34.8360000,127.8946437
낭월,대전 동구 낭월동 370,36.2823405,127.4667577
내곡,강원 강릉시 내곡동 428-1,37.7444887,128.8840536
내당,대구 서구 내당동 219-7,35.8595295,128.5611541
내동,경남 김해시 내동 138-1,35.2440638,128.8632555
내서삼계,경남 창원시 마산회원구 삼계리 35-14,35.2310856,128.5016567
내손갈뫼,경기 의왕시 내손1동 755-4 명성프라자,37.3790869,126.9744081
내일동,경남 밀양시 내이동 1566-6,35.4994084,128.7466520
내포1호,충남 홍성군 홍북면 신경리 1181번지 승우빌딩 107호,36.6481097,126.6746963
노대효천,광주 남구 노대동 819,35.1023582,126.9014187
노량진,서울 동작구 노량진동 37-1,37.5123832,126.9385754
노암,강원 강릉시 노암동 708-1,37.7479985,128.8971170
노은1지구,대전 유성구 노은동 553-9 스타돔 120호,36.3658129,127.3172766
노은2지구,대전 유성구 지족동 985-2,36.3870240,127.3161117
노형,제주 제주시 노형동 1055-1,33.4886429,126.4759347
녹번,서울 은평구 녹번동 82-47,37.6034902,126.9257936
녹양,경기 의정부시 가능동 92-51,37.7585153,127.0407900
논공,대구 달성군 논공읍 북리 803-148,35.7298484,128.4453948
논현1호(서울),서울 강남구 논현동 164-16,37.5083552,127.0234459
논현1호(인천),인천 남동구 논현동 620-8,37.4020201,126.7215098
논현에코메트로,인천 남동구 논현동 752-1,37.3984836,126.7341642
농성1호,광주 서구 화정동 178-128,35.1549836,126.8808712
늘품,강원 원주시 반곡동 1767-54,37.3331561,127.9630827
능곡,경기 시흥시 능곡동 545,37.3703247,126.8104758
능평,경기 처인구 모현읍 능원리 16-11,37.3432726,127.1774407
다대1호,부산 사하구 다대2동 85-5,35.0665571,128.9803139
다대2호,부산 사하구 다대동 1014,35.0586485,128.9659410
다사,대구 달성군 다사읍 죽곡리 809-1,35.8568475,128.4645436
다산,경북 고령군 다산면 상곡리 162-21,35.8240527,128.4502179
다산신도시1호,경기 남양주시 다산동 산3006-2,37.6214301,127.1612650
다운,울산 중구 다운동 536-1,35.5582784,129.2727467
다정,세종특별자치시 다정동 363-10,36.4921075,127.2553108
단계,강원 원주시 단계동 838-4,37.3479836,127.9300585
단구,강원 원주시 단구동 1631-2,37.3229204,127.9571497
단양,충북 단양군 단양읍 도전리 523,36.9810811,128.3702984
달동,울산 남구 달동 135-2,35.5349441,129.3242857
달성비산,대구 서구 비산동 440-5,35.8746770,128.5709029
담양,전남 담양군 담양읍 백동리 247-7,35.3129895,126.9829679
답십리1호,서울 동대문구 답십리동 53-50,37.5722845,127.0571367
당감,부산 부산진구 당감동 367-2,35.1647939,129.0346715
당동1호,경기 군포시 당동 904-5 그린프라자 102호,37.3479296,126.9439443
당리괴정2호,부산 사하구 괴정동 577-42,35.1000088,128.9833570
당산,서울 영등포구 영등포동8가 35-1,37.5267541,126.9050464
당하,인천 서구 마전동 585,37.5952241,126.6721762
대곡,대구 달서구 도원동 1442-2 1층 107호,35.8060523,128.5351847
대곡2지구,대구 달서구 대곡동 1068,35.8035196,128.5291248
대관령,강원 평창군 횡계리 354-8,37.6667880,128.7101371
대교남항,부산 영도구 남항동1가 82,35.0902118,129.0383684
대구혁신,대구 동구 각산동 1098-5 102호,35.8777083,128.7222594
대림2호,서울 영등포구 대림동 783-1,37.5025428,126.8962519
대명1호,대구 남구 대명동 1098-4,35.8389485,128.5641831
대방,경남 창원시 성산구 성주동 100,35.2038448,128.7116559
대사부사,대전 중구 대사동 69-53,36.3183872,127.4297540
대소,충북 음성군 대소면 태생리 539-170,36.9649612,127.4907399
대신,부산 서구 서대신동1가 163-1,35.1094136,129.0147641
대연1호,부산 남구 대연동 1013-8,35.1300070,129.0899871
대연2호,부산 남구 대연동 52-7,35.1366681,129.1020801
대연3호,부산 남구 대연동 1161-9,35.1254625,129.0889411
대정,제주 서귀포시 대정읍 하모리 1048-4,33.2208699,126.2507035
대조,서울특별시 은평구 대조동 231,37.6090415,126.9217359
대청,경남 김해시 대청동 61-1,35.1938611,128.7974085
대치1호,서울 강남구 대치동936,37.4975329,127.0526933
대치2호,서울 강남구 대치동 989-4,37.4986653,127.0618028
대학로,서울 종로구 명륜동4가 113-1,37.5820867,127.0004837
대해중앙,경북 포항시 남구 대도동 97-4,36.0208151,129.3633489
대화,경기 고양시 일산서구 대화동 2126-2 (동남빌딩 101호),37.6785394,126.7551091
대흥,대전 중구 대흥동 204-3,36.3277129,127.4245286
덕계,경남 양산시 덕계동 750,35.3730204,129.1495183
덕계(양주),경기 양주시 덕계동 698-5,37.8166880,127.0458655
덕산,충북 진천군 덕산읍 용몽리 85,36.9083673,127.5181626
덕성여대,서울 강북구 우이동 72-133,37.6502187,127.0131230
덕소1호,경기 남양주시 와부읍 덕소리 141-91,37.5879445,127.2169152
덕신,울산 울주군 덕신리 1294-2,35.4349243,129.3106961
덕정1호,경기 양주시 덕정동 240-27,37.8346933,127.0656430
덕천2호,부산 북구 덕천3동 781-2,35.2107756,129.0191851
덕천역,부산 북구 덕천동 402-12,35.2096088,129.0075494
덕충,전남 여수시 덕충동 2041,34.7531688,127.7433022
덕포,부산 사상구 덕포동 767-10,35.1757319,128.9886875
덕풍1호,경기 하남시 덕풍동 309-64,37.5434830,127.2026968
덕하,울산 울주군 상남리 818-17,35.4845474,129.3039955
도계명서,경남 창원시 의창구 도계동 396-9,35.2577711,128.6392783
도곡,서울 강남구 도곡동 416-4,37.4853391,127.0441262
도구청림,경북 포항시 남구 동해면 도구리 694-3,35.9880822,129.4423367
도남지구,대구 북구 국우동 592-1,35.9506142,128.5799839
도농1호,경기 남양주시 다산동 608,37.6043327,127.1596053
도담,세종 도담동 245-1,36.5152267,127.2575548
도두해안도로,제주 제주시 도두1동 2625-4,33.5037387,126.4661916
도량,경북 구미시 도량동 262-1,36.1385665,128.3241720
도마1호,대전 서구 도마동 114-19,36.3163594,127.3715032
도봉동,서울 도봉구 도봉2동 623-163,37.6717085,127.0463179
도안1지구,대전 유성구 상대동 469-9,36.3474834,127.3391568
도안2지구,대전 서구 가수원동 1036,36.3063271,127.3519035
도화(서울),서울 마포구 도화동 55,37.5382978,126.9464281
도화(인천),인천 미추홀구 도화동 1005-3 스카이프라자2,37.4726337,126.6615569
독립문,서울 서대문구 냉천동 226,37.5676348,126.9645062
독산1호,서울 금천구 독산동 961-10,37.4774057,126.9039497
독산2동,서울 금천구 독산동 1059-4,37.4612740,126.8984710
돌산,전남 여수시 돌산읍 우두리 1095-9,34.7194477,127.7523741
동구청,대구 동구 신암동 345-3,35.8846681,128.6328440
동금,경남 사천시 동금동 58-4,34.9328720,128.0813914
동남지구,충북 청주시 상당구 용암동 3034,36.6169100,127.5157980
동대,충남 보령시 동대동 1766,36.3469285,126.6040007
동덕여대,서울 성북구 하월곡동 17-1,37.6037134,127.0430094
동명,강원 속초시 동명동 1-18,38.2125814,128.5998369
동문,충남 서산시 동문동 406-2,36.7847335,126.4596340
동백1호,경기 용인시 기흥구 동백동 614-5,37.2835528,127.1534923
동부이촌,서울 용산구 이촌1동 301-153 오성상가 103,37.5207704,126.9745910
동삭1호,경기 평택시 동삭동 704-4,37.0070973,127.0961164
동산,전북 익산시 마동 344-5,35.9340399,126.9619570
동산조촌,전북 전주시 덕진구 반월동 230-6,35.8755660,127.0763514
동삼,부산 영도구 동삼동 219-146,35.0828152,129.0711201
동서대,부산 사상구 주례동 55-176,35.1497930,129.0136967
동서변,대구 북구 동변동 669-4,35.9210259,128.6031144
동소문,서울 성북구 동선동5가 147-13,37.5970487,127.0152570
동양미래대학,서울 구로구 고척동 343,37.5029264,126.8631400
동읍,경남 창원시 의창구 동읍 용잠리 371-2,35.2772949,128.6852307
동천(경주),경북 경주시 동천동 987-44,35.8583137,129.2244534
동천(광주),광주 서구 동천동 598,35.1714941,126.8667045
동천1호,경기 용인시 수지구 동천동 941-7,37.3372788,127.0915407
동천3지구,대구 북구 동천동 906-3,35.9428328,128.5595671
동촌,대구 동구 검사동 1111,35.8864260,128.6519602
동춘,인천 연수구 동춘동 934-1,37.4074620,126.6719071
동탄1능동,경기 화성시 반송동 70-4,37.2017758,127.0604547
동탄1호,경기 화성시 반송동 42-6,37.2075227,127.0650354
동탄2 영천,경기 화성시 영천동 701-1,37.2059287,127.1124876
동탄2목동,경기 화성시 목동 454-5,37.1816365,127.1260257
동탄2산척,경기 화성시 산척동 산16,37.1739310,127.1137762
동탄2청계,경기 화성시 청계동 536,37.1991807,127.1142770
동탄2호,경기 화성시 반송동 217-6,37.1931568,127.0733803
동탄2호수공원,경기도 화성시 송동 709-1,37.1655960,127.0940031
동탄테크노밸리,경기 화성시 영천동 797-1,37.2078696,127.0932925
동판교,경기 성남시 분당구 삼평동 664,37.3974933,127.1107738
동호,대구 동구 동호동 384-7,35.8655357,128.7241076
두류,대구 달서구 두류동 620-12,35.8520637,128.5548607
두암1호,광주 북구 두암2동 826-50,35.1749020,126.9332276
두정,충남 천안시 서북구 성정2동 1211,36.8284953,127.1350981
둔덕,전남 여수시 둔덕동 434-7,34.7685958,127.6940760
둔산1호,대전 서구 둔산2동 1093,36.3521972,127.3743752
둔산2호,대전 서구 둔산동 1851,36.3510458,127.4002938
둔전,경기 용인시 처인구 포곡읍 둔전리 400-2,37.2682348,127.2144995
둔촌1호,서울 강동구 둔촌동 454-5,37.5312120,127.1420296
등촌,서울 강서구 등촌동 649-14,37.5522155,126.8633122
마곡역,서울 강서구 마곡동 774-1,37.5597183,126.8308928
마린시티,부산 해운대구 우동 1434-2,35.1572580,129.1482829
마산현동,경남 창원시 마산합포구 현동 374,35.1506092,128.5540031
마석,경기 남양주시 화도읍 마석우리 384-8,37.6595395,127.3046678
마재,"광주 서구 금호동 813 대주파크빌상가 124동 114호, 115호",35.1276101,126.8563361
마천1호,서울 송파구 거여동 32-6,37.4927018,127.1490892
만년,대전 서구 만년동 316,36.3687361,127.3816084
만덕1호,부산 북구 만덕동 294,35.2122895,129.0364851
만덕2호,부산 북구 만덕3동 915-6,35.2116238,129.0285511
만성,전북 전주시 덕진구 만성동 1365-6,35.8445529,127.0744425
